filepath,label
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_26.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_27.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_28.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_29.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_30.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_31.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_32.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_33.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_34.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_35.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_36.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_37.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_38.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_39.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_40.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_41.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_42.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_43.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_44.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_45.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_46.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_47.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_48.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_49.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_0.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_1.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_2.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_3.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_4.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_5.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_6.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_7.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_8.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_9.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_10.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_11.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_12.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_13.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_14.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_15.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_16.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_17.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_18.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_19.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_20.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_21.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_22.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_23.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_24.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_25.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_26.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_27.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_28.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_29.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_30.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_31.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_32.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_33.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_34.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_35.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_36.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_37.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_38.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_39.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_40.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_41.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_42.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_43.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_44.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_45.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_46.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_47.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_48.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (2)_aug_49.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_0.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_1.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_2.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_3.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_4.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_5.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_6.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_7.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_8.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_9.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_10.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_11.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_12.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_13.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_14.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_15.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_16.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_17.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_18.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_19.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_20.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_21.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_22.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_23.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_24.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_25.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_26.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_27.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_28.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_29.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_30.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_31.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_32.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_33.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_34.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_35.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_36.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_37.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_38.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_39.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_40.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_41.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_42.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_43.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_44.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_45.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_46.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_47.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_48.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (3)_aug_49.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_0.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_1.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_2.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_3.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_4.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_5.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_6.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_7.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_8.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_9.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_10.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_11.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_12.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_13.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_14.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_15.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_16.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_17.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_18.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_19.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_20.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_21.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_22.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_23.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_24.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_25.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_26.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_27.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_28.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_29.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_30.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_31.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_32.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_33.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_34.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_35.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_36.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_37.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_38.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_39.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_40.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_41.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_42.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_43.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_44.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_45.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_46.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_47.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_48.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (4)_aug_49.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_0.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_1.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_2.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_3.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_4.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_5.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_6.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_7.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_8.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_9.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_10.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_11.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_12.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_13.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_14.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_15.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_16.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_17.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_18.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_19.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_20.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_21.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_22.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_23.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_24.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_25.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_26.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_27.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_28.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_29.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_30.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_31.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_32.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_33.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_34.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_35.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_36.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_37.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_38.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_39.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_40.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_41.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_42.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_43.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_44.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_45.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_46.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_47.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_48.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (1)_aug_49.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (2)_aug_0.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (2)_aug_1.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (2)_aug_2.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (2)_aug_3.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (2)_aug_4.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (2)_aug_5.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (2)_aug_6.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (2)_aug_7.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (2)_aug_8.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (2)_aug_9.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (2)_aug_10.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (2)_aug_11.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (2)_aug_12.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (2)_aug_13.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (2)_aug_14.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (2)_aug_15.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (2)_aug_16.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (2)_aug_17.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (2)_aug_18.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body white (2)_aug_19.jpg,A
